title,publisher_id,valuable,Count,id
Alexander the Great,147,f,,992
Test of Fire: Bull Run 1861,147,f,,993
Giza: The Great Pyramid,147,f,,994
Attack!,61,f,,995
China Rails,147,f,,996
Callisto,226,f,,997
Bazaar: Special Edition,258,f,,998
"First World War, The",147,f,,999
Eurorails,147,f,,1000
GIPF Project Set 2,57,f,,1001
GIPF Project Set 3,57,f,,1002
Nippon Rails,147,f,,1003
India Rails,147,f,,1004
Eco Fluxx,138,f,,1354
Before the Wind,147,f,,1006
Italia,147,f,,1007
Liberty: The American Revolution 1775-83,47,f,,1008
Russian Rails,147,f,,1009
Quirky,68,f,,1010
Texas Glory: 1835-36,47,f,,1011
Nanuk,202,f,,1355
Dragon Valley,255,f,,1013
Pluckin' Pairs,182,f,,1014
HeroCard Cyberspace,211,f,,1015
Ticket to Ride: Dice Expansion,54,f,,1017
The A Maze Ing Labyrinth,183,f,,1018
Dino Hunt Dice,202,f,,1020
"Risk, Starcraft",224,f,,1021
Lunch Money: Sticks & Stones,14,f,,1022
Gloom: Unhappy Homes,14,f,,1023
Gloom: Unwelcome Guests,14,f,,1024
Gloom: Unfortunate Expeditions,14,f,,1025
Zen Garden,147,f,,1026
Road Rally USA,147,f,,1027
Global Mogul,147,f,,1028
Catan Histories: Settlers Of America Trails To Rails,147,f,,1358
Tannhauser,70,f,,1359
Borogove,253,f,,1034
Dominion: Hinterlands,185,f,,1035
"House Divided, A: The American Civil War 1861-1865",147,f,,1037
Race for the Galaxy: The Gathering Storm,185,f,,1038
Pathfinder Adventure Card Game: Rise Of The Runelords Base Set,164,f,,1360
Quarriors: Rise of the Demons,260,f,,1040
X-wing Miniatures Game,70,f,,1361
Quarriors: Quarmageddon,260,f,,1042
Race for the Galaxy: Rebel vs. Imperium,185,f,,1043
"Totally Insane Card Game, The",219,f,,1047
Baffler. The,40,f,,1048
"Win, Lose, or Banana!",11,f,,1049
"Trump, Tricks, Game!",147,f,,1050
Lowenherz,185,f,,1362
Ticket to Ride Map Collection: Volume 2 - India & Switzerland,54,f,,1052
Pandante,195,f,,1363
World Series of Yahtzee,110,f,,1054
Colorforms,226,f,,1055
Pandant,195,f,,1364
To The Edge of The World,256,f,,1057
To The Edge of the World,259,f,,1058
Motta,11,f,,1365
Catacombs,368,f,,1366
Legends Of The American Frontier,262,f,,1367
Pass-Ack Words,182,f,,1062
Who Would Win,91,f,,1063
Skyway Robbery,262,f,,1368
Sort It Out,226,f,,1065
Treehouse,139,f,,1066
Double Take,182,f,,1067
Area 1851,262,f,,1369
Time's Up!,182,f,,1069
Take It or Leave It,91,f,,1070
Sangoku,262,f,,1370
Ratuki,224,f,,1073
"Memory, Super Mario",224,f,,1074
Clubs,158,f,,1075
Bane,257,f,,1076
Cross Ways,224,f,,1077
Australian Rails,147,f,,1079
Chaos,246,f,,148
Draco Mundis,112,f,,237
Mad War,56,f,,488
Paiko,242,f,,594
10 days in asia,162,f,,1
1st & Goal,182,f,,2
3:16 Carnage Amogst the Stars,24,f,,4
The Princess Bride: Miracle Pill,262,f,,1372
7Wonders,184,f,,7
A Castle For All Seasons,185,f,,8
A Castle for All Seasons,185,f,,9
A Conclave of Wyrms,246,f,,10
A Game of Thrones,70,f,,11
A Game of Thrones: Card Game,70,f,,12
A Game of Thrones: Living Card Game,70,f,,13
A Game of Thrones: The Board Game,70,f,,14
A Party Game of Curses,27,f,,15
A Touch of Evil: The Supernatural Game,74,f,,16
Aargh!,193,f,,17
Ablaze!,147,f,,18
Ace Detective,1,f,,19
Acquire,15,f,,20
Mouse Guard: Swords & Strongholds,369,f,,1371
The Princess Bride: As You Wish,262,f,,1373
Monopoly,166,f,,528
Age of Discovery,147,f,,22
Age of Napoleon,172,f,,23
Alchemist,147,f,,25
Alhambra,179,f,,26
Alien Labyrinth,48,f,,28
Alpha Omega: Core Rulebook,151,f,,29
Amazing Labyrinth,183,f,,30
Amuse Amaze,108,f,,31
Anasazi,147,f,,32
Android,70,f,,33
Anima Shadow of Omega,70,f,,34
Anti-Monopoly,226,f,,35
Apocalypse World,141,f,,36
Apples to Apples,110,f,,37
Apples to Apples: Party Box Expansion 1,162,f,,39
Appletters,17,f,,40
Aquaretto,185,f,,41
Aquarius,138,f,,42
Arcana,192,f,,43
Are You a Werewolf?,138,f,,44
Are You the Traitor?,138,f,,45
Are you the Traitor?,138,f,,46
Argue,178,f,,47
Arkham Horror,70,f,,48
At the Gates of Loyang,109,f,,54
Atlantis,147,f,,55
Atlantis Treasure,129,f,,56
Attika,185,f,,57
Automobile,147,f,,58
Awkward Moment,217,f,,59
Axis & Allies,15,f,,60
BRAWL,42,f,,63
Bacchus' Banquet,147,f,,64
Dungeon Scroll,262,f,,1376
Balance of Power,37,f,,66
Bang,53,f,,68
Barca,30,f,,69
Batleship Galaxies,110,f,,70
Batt'l Kha'os,246,f,,71
Lightning Dice,370,f,,1377
Battle Cry,239,f,,73
Battle Cry: 150th Civil War Anniversary,15,f,,74
Battle Line,83,f,,75
Battles of Westeros,70,f,,76
Battleship Galaxies,110,f,,77
Battletech,71,f,,79
Bazaar,105,f,,80
Bears!,72,f,,81
Bedlamb,11,f,,82
Beer Money,14,f,,83
"Before I Kill You, Mister Bond",42,f,,84
Befuzzled,78,f,,85
Monarch,371,f,,1378
Bell-Bottomed Baddassses on the Mean Streets of Funk,246,f,,87
Betrayal at House on the Hill,15,f,,88
Pixel Glory,372,f,,1379
Big Boggle,237,f,,90
Big Idea,42,f,,91
Bill of Rights,28,f,,92
Blokus,62,f,,93
Blokus Trigon,62,f,,94
Quilt Show,185,f,,1380
Bloodsuckers,72,f,,97
Blue Moon City,70,f,,98
Gloom: Fairytale Gloom,14,f,,1381
Boggle,110,f,,100
Bohnanza: Fan-Edition,185,f,,102
Bombay,245,f,,103
Bonkers!,166,f,,104
Boom-O,145,f,,105
Breaking the Ice,20,f,,106
British Rails,147,f,,107
Buffalo,217,f,,108
Buffy the Vampire Slayer,148,f,,109
Three Cheers For The Master,14,f,,1382
Burn in Hell,202,f,,111
Cadwallon: City of Thieves,70,f,,112
Caesar & Cleopatra,202,f,,113
Munchkin Gloom,202,f,,1383
Cambria,44,f,,115
Fast & Fhtagn: A Game Of Cthulhoid Street Racing,14,f,,1385
Emergents: Genesis,277,f,,1386
Canasta Caliente,166,f,,120
Captain Treasure Boots,42,f,,122
Carcassonne: Big Box,185,f,,124
Carcassonne: The Castle,185,f,,126
Carcassonne: The Dice Game,185,f,,127
Carcassonne: The Discovery,185,f,,128
Aye Dark Overlord,70,f,,61
Blood Bound,70,f,,95
Cards Against Humanity,35,f,,129
Cargo Noir,54,f,,130
Carnival,55,f,,131
Carolus Magnus,185,f,,132
Carson City,61,f,,133
Cartagena,185,f,,134
Cartoona,249,f,,135
Castaways,167,f,,137
Castle Panic,72,f,,138
Castle Risk,166,f,,139
Cash 'n Guns,479,f,,136
The Princess Bride: A Battle of Wills,262,f,,1374
Battlestar Galactica: The Board Game,70,f,,78
Dungeon Scroll,262,f,,1375
Oh My Gods!,373,f,,1387
Catan Austria,147,f,,141
Catan Dice Game,147,f,,142
Risk: 2210,15,f,,684
Catan Histories: Merchants of Europe,146,f,,143
Caveman Curling,105,f,,146
Caylus,185,f,,147
Chaos in the Old World,70,f,,149
Cheap Shot,107,f,,150
Checkers Magnetic,38,f,,151
Chess,132,f,,152
Chess: LOTR,166,f,,154
Chess: Transformers,166,f,,155
Chez Cthulhu,202,f,,156
Chez Dork,202,f,,157
Chez Geek 2: Slack Attack,202,f,,159
Chez Geek 3: Block Party,202,f,,160
Chez Goth,202,f,,161
Chicago Poker,172,f,,162
China,225,f,,163
Chronicle,246,f,,164
Chrononauts,138,f,,165
Chutes and Ladders,148,f,,166
Citadels,70,f,,167
City Square Off,91,f,,168
City of  Thieves,70,f,,169
Civilization,15,f,,170
Clans,185,f,,171
Classic Waterworks,237,f,,172
Claustrophobia,12,f,,173
Clue,110,f,,174
"Clue, Big Bang Theory",224,f,,175
"Clue, D&D ",224,f,,176
Clue: 50th Anniversary Edition,166,f,,177
Clue: Dungeons & Dragons,166,f,,178
Code Monkey,125,f,,180
Cold War,192,f,,181
Coloretto,185,f,,182
Colossal Arena,70,f,,183
Colosseum,54,f,,184
Conquest of Pangea,237,f,,187
Conquest of Planet Earth,74,f,,188
Conquest of Planet Earth: The Space Alien Game,74,f,,189
Conquest of the Fallen Lands,13,f,,190
Core Worlds,207,f,,191
Corintho,68,f,,192
Cosmic Cows,175,f,,193
Evil Genius Deathray,377,f,,1393
Cosu,154,f,,196
Discount Salmon,378,f,,1394
Covert Action,182,f,,199
Crappy Birthday,158,f,,200
Creationary,132,f,,201
Cuba,185,f,,203
Curses,27,f,,204
Cutthroat Caverns,200,f,,205
Cyclades,12,f,,206
DVONN,185,f,,208
Danger Zone,56,f,,209
Das Ende Des Triumvirats,136,f,,210
Days of Steam,228,f,,211
Deadwood,70,f,,212
Deadwood Studios USA,42,f,,213
Death Angel,192,f,,214
Deck of Playing Cards,116,f,,215
Descent: Journeys in the Dark,70,f,,216
Dice Town,144,f,,218
Die Weinhandler,147,f,,219
Disaster Looms!,25,f,,221
Dixit,12,f,,222
Queen's Necklace,380,f,,1396
Do You Worship Cthulhu?,220,f,,224
Doctor Who: The Card  Game,16,f,,225
Doctor Who: The Card Game,16,f,,226
Domaine,147,f,,227
Dominion: Prosperity,185,f,,232
Dominoes,252,f,,234
Doom: The Board Game,70,f,,235
Dragon Delta,64,f,,238
Dragon Dice,186,f,,239
Dragon Rampage,61,f,,240
Drive,193,f,,241
Duel of Ages,124,f,,242
Dune,15,f,,243
Got'em,31,f,,355
Hamburgum,185,f,,361
Dungeon & Dragons: Essentials - Heros of the Forgotten Kingdoms,239,f,,244
Dungeon & Dragons: Essentials - Rules Compendium,239,f,,245
Dungeon Lords,246,f,,246
Dungeon Run,174,f,,247
Dungeon Twister,12,f,,248
Dungeon Twister: 3-4 Players,12,f,,249
Dungeon Twister: Paladins & Dragons,12,f,,250
Dungeons & Dragons: Castle Ravenloft,239,f,,251
Dungeons & Dragons: Dungeon Master's Guide (4th Edition),239,f,,252
Dungeons & Dragons: Eberron Player's Guide (4th Edition),239,f,,253
Shock: RPG,98,f,,734
Arcadia Quest,380,f,,1398
Blood Rage,465,f,,1397
Lords Of Waterdeep,318,t,,1390
Skulldug!,376,f,,1392
Dungeons & Dragons: Monster Manual (4th Edition),239,f,,254
Dungeons & Dragons: Player's Handbook (4th Edition),239,f,,255
Dungeons & Dragons: Player's Handbook 2 (4th Edition),239,f,,256
Catan,12,t,,1389
Diplomacy,15,t,,220
The Grizzled,379,t,,1395
Dungeons & Dragons: Three Dragon Ante,239,f,,257
Dungeons & Dragons: Wrath of Ashardalon,239,f,,258
Dungeons & Dragons: Wrath of Ashardalon Board Game,239,f,,259
Dungeons & Dragons; Three Dragon Ante,239,f,,260
Dungeonville,246,f,,261
Dust,70,f,,262
"Dutch Golden Age, The",147,f,,264
Dwarven Dig!,28,f,,265
Dweebies,91,f,,266
E.T.I.: Estimated Time to Invasion,66,f,,267
EVE: Conquests,29,f,,268
Eclipse,12,f,,269
Eclipse Phase,176,f,,270
"Edel, Stein & Reich",183,f,,272
Eleminis,198,f,,275
Yashima,104,f,,1400
Eleminis card game,199,f,,277
Eminent Domain,213,f,,278
Emira,147,f,,279
Empire Builder,147,f,,280
Empire Express,147,f,,281
En Garde!,197,f,,282
Endeavor,246,f,,283
Epigo,143,f,,284
Ergo,36,f,,285
Eruption,206,f,,286
Heavy Steam,104,f,,1401
Exile Sun,85,f,,288
FBI,171,f,,289
High Heavens,381,f,,1402
Facts in Five,23,f,,291
Fairy Tale,246,f,,292
Falling,42,f,,293
Falling: Goblin Edition,218,f,,294
Family Business,147,f,,295
Family Fluxx,138,f,,296
Farming Game,159,f,,297
Fealty,11,f,,298
Fill The Barn,115,f,,299
Finca,185,f,,300
Fish Cook,42,f,,301
Five Crowns,189,f,,302
Fjords,185,f,,303
Flash Duel,195,f,,304
Fluxx: The Board Game,138,f,,308
Quick And Dirty,382,f,,1403
Formula D,12,f,,312
Brew Crafters: The Travel Card Game,103,f,,1404
Formula De,12,f,,314
Frag,202,f,,315
Frank's Zoo,185,f,,317
Frog Juice,91,f,,318
Fury of Dracula,70,f,,319
GIPF,82,f,,320
GIPF Project Set 1,57,f,,322
GURPS: Basic Set Characters,202,f,,323
Galaxy's Edge,13,f,,325
Game of Life,148,f,,326
Game of REAL Life,121,f,,327
"Game of Thrones, A: Living Card Game",70,f,,330
Gangster,147,f,,332
Gauntlet of Fools,122,f,,333
Block 2 Block,383,f,,1408
Gemblo,238,f,,336
Gheos,246,f,,337
Ghost Stories,12,f,,338
Giants,144,f,,340
Girl Genius: The Works,208,f,,341
Give Me the Brain!,42,f,,342
Globalization,44,f,,344
Gloom,14,f,,346
Gloom: Cthulhu Gloom,14,f,,347
Glory to Rome,32,f,,348
Go,252,f,,349
Go West!,147,f,,350
Goblet,22,f,,351
Gold Mine,206,f,,352
Gold Thief,11,f,,353
Dust Strategy Board Game,70,f,,263
Grave Robbers II: Skippy's Revenge,246,f,,356
Greed Quest,202,f,,357
Hacienda,185,f,,360
Hammer of the Scots,47,f,,362
Handy,193,f,,363
Hannibal: Rome vs. Carthage,228,f,,364
Hawaii,185,f,,365
Heap,177,f,,366
Heart of Africa,147,f,,367
Hecho,45,f,,368
Hector and Achilles,147,f,,371
Hera & Zues,185,f,,372
Hero Immortal King,12,f,,373
Hero Quest,148,f,,374
HeroCard Orc Wars,211,f,,375
HeroCard: Cyberspace,211,f,,376
HeroCard: Orc Wars,211,f,,377
Shogun,179,f,,735
Heroes of the World,194,f,,378
Hex Hex XL,200,f,,379
Hex-A-Gon,37,f,,380
Diner,55,f,,1405
Zombicide: Black Plague,380,f,,1399
Isle of Trains,55,f,,1406
Hibernia,44,f,,384
High Noon Saloon,197,f,,386
History of the World,15,f,,387
Hive,229,f,,388
Hobbit. The,70,f,,389
Hoity Toity,225,f,,390
Home Stretch,182,f,,391
Humans!!!,223,f,,392
Ice Dice,139,f,,393
Ideology,246,f,,394
Ideology: The War of Ideas,246,f,,395
Ideology: The War of Ideas (Second Edition),247,f,,397
Ikusa,15,f,,398
Iliad,12,f,,399
Impact City Roller Derby,120,f,,401
In a Pickle,91,f,,403
In the Shadow of the Emperor,185,f,,404
Incan Gold,105,f,,405
Inevitable,60,f,,406
Infernal Contraption,177,f,,407
Ingenious,70,f,,408
Inn-Fighting,239,f,,409
Inside,95,f,,411
Intrigue,147,f,,412
Island Fortress,76,f,,414
JAB: Realtime Boxing,209,f,,415
Jambo,185,f,,417
James Clavell's Shogun,113,f,,418
James Ernest's Totally Renamed Spy Game,42,f,,419
Jenga,110,f,,420
Jenga Boom,111,f,,421
"Jenga, Donkey Kong",224,f,,422
Journey to the Center of the Earth,147,f,,423
Justinian,147,f,,425
Kachina,28,f,,426
Kalua,114,f,,427
Karnag,196,f,,428
Kemet,144,f,,429
Key Largo,164,f,,430
Kill Doctor Lucky,42,f,,433
Killer Bunnies and the Journey to Jupiter,175,f,,434
Killer Bunnies and the Quest for the Magic Carrot,170,f,,435
Killer Bunnies and the Quest for the Magic Carrot: Onyx Booster,170,f,,437
Kingdom Builder,179,f,,439
Kings and Things,246,f,,441
Kingsburg,70,f,,442
Knightmare Chess,202,f,,443
Kragmortha,147,f,,444
Kuba,168,f,,445
Kung Fu Fighting,197,f,,446
Kung Fu Samurai on Giant Robot Island,246,f,,447
Kuuduk,221,f,,448
La Strada,147,f,,449
Labyrinth,183,f,,450
Lascaux,147,f,,451
Le Boomb,147,f,,454
Le Havre,136,f,,455
Le bomb!,147,f,,456
Left Center Right,94,f,,457
Legend of the Cipher,131,f,,458
Legends of the Three Kingdoms,243,f,,460
Letres,133,f,,461
Life: Indiana Jones,110,f,,464
Lineup,152,f,,465
Linkity,193,f,,466
Living Labyrinth,28,f,,467
Legends of Andor,70,f,,459
Loot,91,f,,471
Lord of the Fries,42,f,,472
Lord of the Rings,70,f,,474
Sanitarium,11,f,,709
Lord of the Rings Chess,166,f,,476
Lord of the Rings Trivia Game,70,f,,477
Lord of the Rings: Card Game,70,f,,479
Lunar Rails,147,f,,484
Lunch Money,14,f,,485
Lyssan,215,f,,486
Mad Gab,168,f,,487
Maharaja,185,f,,489
Maharaja: The Game of Palace Building in India,147,f,,490
Maid: The Role Playing Game,41,f,,491
Mall of Horror,12,f,,492
Man Bites Dog,226,f,,493
Mancala,252,f,,494
Manga Manga,225,f,,495
Mansions of Madness,70,f,,498
Martian Rails,147,f,,501
Marvel Heroes,70,f,,502
Master Builder,228,f,,503
Master of Rules,246,f,,504
Mastermind,110,f,,505
Megastar,147,f,,506
Mein Name ist Hasse,52,f,,507
Memoir '44,54,f,,508
"Memory, Adventure Time",224,f,,509
Merchant of Venus,15,f,,510
Merchants & Marauders,246,f,,511
Merchants and Marauders,246,f,,512
Mermaid Rain,246,f,,513
Mesopotamia,147,f,,514
Metro,179,f,,515
Mexica,185,f,,516
Michael,212,f,,517
Michelangelo,28,f,,518
Midgard,246,f,,521
Mille Bornes,110,f,,522
Mine Shift,152,f,,523
Miskatonic School for Girls,79,f,,524
Modern Art,147,f,,525
Mondo,246,f,,526
Monkeys with Knives and Guns,21,f,,527
Manhattan,147,t,,496
Marrakech,95,t,,499
Monopoly Hotels,111,f,,529
Monopoly: Disney,110,f,,530
Monopoly: LOTR,166,f,,531
Monopoly: Star Wars,166,f,,532
Monsters Menace America,15,f,,533
Monty Python Fluxx + Castle Expansion,138,f,,535
Monuments,147,f,,536
Monuments: Wonders of Antiquity,147,f,,537
Moto Grand Prix,156,f,,538
Mr. Jack,117,f,,539
Mr. Jack Pocket,117,f,,540
Munchkin Quest,202,f,,549
Munchkin Quest 2: Looking for Trouble,202,f,,550
Murder City,233,f,,552
Mwahahaha,233,f,,553
Mystery Express,54,f,,554
Naval Battles,147,f,,556
Nero,147,f,,557
Neuroshima Hex!,246,f,,558
New World: A Carcassonne Game,185,f,,559
Nexus,42,f,,560
Nexus Ops,15,f,,561
Ninja Burger,162,f,,567
Ninja Versus Ninja,162,f,,569
Notre Dame,185,f,,572
Nuclear War,73,f,,573
Nuns on the Run,147,f,,574
Nuts!,187,f,,575
Odin's Ravens,185,f,,579
Oh Gnome You Don't!,107,f,,580
Oh My God! There's an Axe in My Head.,88,f,,581
On the Underground,185,f,,583
Once Upon a Time + Expansions,14,f,,584
Order Up,246,f,,585
Order of the Stick: The Dungeon of Dorukan,7,f,,586
Oregon,185,f,,587
Othello,145,f,,588
Outpost,207,f,,589
Owner's Choice,246,f,,590
PUNCT,82,f,,591
Pack & Stack,147,f,,593
Paint the line: Red Tide,87,f,,595
Pairs in Pears,17,f,,596
Pandemic: On the Brink,246,f,,598
Pantheon,185,f,,599
Pants on Fire,182,f,,600
Paradox,68,f,,601
Paranoia: Card Game,153,f,,602
Patrician,147,f,,604
Paul,142,f,,605
Pecking Order,237,f,,606
Penny Arcade: The Card Game,70,f,,608
Pente,148,f,,610
Phase 10,81,f,,611
Pieces of Eight: Maidens Vengeance,14,f,,612
Pillars of the Earth,147,f,,613
Pillars of the Earth. The : Builders Duel,147,f,,614
Pimp,161,f,,615
Pink Godzilla's Dev Kit,173,f,,616
Pirate Fluxx,138,f,,619
Pirate's Cove,185,f,,620
Pittsburgh,90,f,,621
Pizza Theory,105,f,,622
Planet Steam,70,f,,623
Politics of Cannibals,204,f,,624
Poo,37,f,,625
Power Grid: Factory Manager,185,f,,629
Power Grid: The First Sparks,185,f,,630
Predator: The Forest Food Chain Game,6,f,,631
"Prince, The: The Struggle of House Borgia",147,f,,633
Princes of Florence,185,f,,634
Princes of Machu Picchu,185,f,,635
Pub Trivia,226,f,,636
Puzzle Strike - Bag of Chips,195,f,,640
Pylos,95,f,,641
Qin,182,f,,643
Quack in the Box,58,f,,644
Quads Magnetic,95,f,,646
Quao,234,f,,647
Quarto,68,f,,650
Quest for the Dungeon Master,210,f,,651
Quiddler,189,f,,652
Quoridor,95,f,,653
Qwirkle,149,f,,654
Qwirkle Cubes,152,f,,655
Rails of Europe,61,f,,660
Railways of England and Wales,61,f,,661
Railways of the World,61,f,,662
Ranking,185,f,,663
Rare Earth. the,130,f,,664
Rattlesnake,70,f,,666
Rattus,246,f,,667
Red Dragon Inn,197,f,,668
Red November,70,f,,669
Redneck Life,107,f,,670
Redshirts,231,f,,671
Resident Evil,18,f,,672
Revolution!,202,f,,673
Revolution: The Dutch Revolt 1568-1648,172,f,,674
Rex: Final Days of an Empire,70,f,,675
Ribbit,193,f,,676
Ricochet Robot,185,f,,677
Rise of Empires,147,f,,679
Risk,15,f,,680
Risk Legacy,110,f,,683
Risk: LOTR Trilogy,166,f,,686
Rocketville,15,f,,690
Roll of the Dead,56,f,,693
Roller Coaster Tycoon,166,f,,694
Roman Taxi,28,f,,695
Romans Go Home!,227,f,,696
Rorschach,28,f,,697
Rory's Story Cubes,91,f,,698
Pressure Matrix,3,f,,632
Pink Treehouse,138,f,,617
Risk: Halo Legendary Edition,224,f,,681
"Run for Your Life, Candyman!",200,f,,699
Rune Age,70,f,,700
Rune Wars,70,f,,701
Runewars,70,f,,703
SPANC: Space Pirate Amazon Ninja Catgirls,202,f,,704
Saint Petersburg,185,f,,705
Samurai,185,f,,706
Samurai Swords,148,f,,707
San Juan,185,f,,708
Save Doctor Lucky,42,f,,710
Say Anything,160,f,,711
Scattergories,148,f,,712
Scotland Yard,148,f,,713
Scrabble,148,f,,714
Scrabble: Slam!,110,f,,715
Sentinels of the Multiverse (2nd Edition),103,f,,720
Sentinels of the Multiverse 2nd Edition,103,f,,721
Sequence,126,f,,722
Settelers of Catan,146,f,,724
Seven Dragons,138,f,,726
Shadow Hunters,246,f,,727
ShadowRift,86,f,,728
Shadowrift,86,f,,729
Shadows Over Camelot,54,f,,731
Sharp Shooters,148,f,,732
Shear Panic,147,f,,733
SET,33,f,,723
Shootin Ladders Frag Fest,250,f,,736
Shootin' Ladders,201,f,,737
Shootin' Ladders: Frag Fest,200,f,,738
Sid Meier's Civilization,70,f,,739
Sid Meier's Civilization: The Board Game,70,f,,740
Siebzehn,190,f,,741
Sixes,11,f,,742
Skulking nd Scheming,102,f,,743
Skybridge,95,f,,744
Sleeping Queens,91,f,,745
Small World Underground,54,f,,747
Smart Ass,226,f,,749
Smarty Party,182,f,,750
Snow Tails,12,f,,751
Solarquest,99,f,,753
Sorry!,110,f,,754
Sorry! Sliders,110,f,,755
Space Alert,185,f,,757
Space Dealer,185,f,,759
Space Hulk,89,f,,760
Space Station Assault,244,f,,762
Spectaculum,182,f,,763
Split,166,f,,765
Spooks,202,f,,766
Star Trek Expeditions,240,f,,769
Star Wars: Electronic Galactic Battle,216,f,,772
Star Wars: Galactic Battle,216,f,,773
Starcraft: The Board Game,70,f,,774
Starfarers of Catan,147,f,,776
Starship Catan,147,f,,778
Steam,147,f,,779
Stonehenge,218,f,,781
Stoner Fluxx,138,f,,782
Story Cubes,91,f,,783
Story War,34,f,,784
Stratego,15,f,,785
Stronghold,228,f,,786
Struggle for Catan,147,f,,787
Stupiduel,140,f,,789
Succession,244,f,,790
Survive: Escape from Atlantis,207,f,,793
Sutakku,201,f,,794
Sutter's Mill,147,f,,795
Sword & Skull,15,f,,796
